Cultivation,Sample Point,Average Growth Rate 1/h,Biomass g/L,Biomass model g/L,Biomass viable model g/L,CPR,CPR_Std,Cp mg/L,Cs g/L,Death rate (10^-3 h^-1),Growth Rate Pirt 1/h,Growth Rate model 1/h,Interpolated/Pirt,OUR,OUR_Std,Time d,Time h,Viability %,Viability model %,qCO2 mmol/gh,qCO2 model mmol/gh,qCO2 viable mmol/gh,qCO2 viable model mmol/gh,qO2 mmol/gh,qO2 model mmol/gh,qO2 viable mmol/gh,qO2 viable model mmol/gh,qP mg/gh,qP model mg/gh,qS g/gh,qS model g/gh,qS viable g/gh
C007,C0.015,0.014684349,4.64,4.64,4.548128,,,,,,,0.014684349,,,,0.0,0.0,98.02,98.02,0.7559,,0.74093318,,-4.1815,,-4.0987063,,0.244662893,0.244662893,0.031647304,,0.032286578
C007,C0.025,0.024122663,4.91,4.91,4.795106,,,,,,,0.024122663,,,,0.0,0.0,97.66,97.66,0.4864,,0.47501824,,-3.7089,,-3.62211174,,0.509446718,0.509446718,0.04912966,,0.05030684
C008,C0.015,0.014979512,4.74,4.74,4.647096,,,,,,,0.014979512,,,,0.0,0.0,98.04,98.04,0.2881,,0.28245324,,-3.4232,,-3.35610528,,0.252822706,0.252822706,0.031602347,,0.032234136
C008,C0.025,0.024971452,4.92,4.92,4.806348,,,,,,,0.024971452,,,,0.0,0.0,97.69,97.69,0.5539,,0.54110491,,-2.5392,,-2.48054448,,0.591618523,0.591618523,0.050754983,,0.051955147
C009,C0.05,0.049426837,5.27,5.27,5.090293,,,,,,,0.049426837,,,,0.0,0.0,96.59,96.59,1.1392,,1.10035328,,-3.2604,,-3.14922036,,0.77775582,0.77775582,0.093789065,,0.097100181
C009,C0.1,0.098853675,5.25,5.25,5.04,,,,,,,0.098853675,,,,0.0,0.0,96.0,96.0,2.0686,,1.985856,,-4.6384,,-4.452864,,1.201698965,1.201698965,0.188292714,,0.196138244
C010,C0.1,0.1,5.29,5.29,4.978419,,,,,,,0.1,,,,0.0,0.0,94.11,94.11,2.1471,,2.02063581,,-3.3759,,-3.17705949,,1.152766735,1.152766735,0.189035917,,0.200866982
C013,C0.05,0.045814134,5.08,5.08,4.85648,,,,,,,0.045814134,,,,0.0,0.0,95.6,95.6,2.8221,,2.6979276,,-3.9206,,-3.7480936,,0.772832114,0.772832114,0.090185303,,0.094336091
C013,C0.12,0.120315464,5.29,5.29,5.116488,,,,,,,0.120315464,,,,0.0,0.0,96.72,96.72,2.6769,,2.58909768,,-5.3109,,-5.13670248,,1.250138869,1.250138869,0.22743944,,0.23515244
C014,C0.05,0.047755622,5.07,5.07,4.906239,,,,,,,0.047755622,,,,0.0,0.0,96.77,96.77,2.8661,,2.77352497,,-3.9305,,-3.80354485,,,,0.094192547,,0.097336516
C014,C0.12,0.120533427,5.44,5.44,5.24416,,,,,,,0.120533427,,,,0.0,0.0,96.4,96.4,3.0836,,2.9725904,,-4.7481,,-4.5771684,,1.14934125,1.14934125,0.221568799,,0.229843152
